id,tau_days,p_days,tau_length,p_length,tau,p,lon,lat,p_days_adj,p_length_adj,p_number_adj,days_sig,length_sig,num_sig
02444,0.4392211139202118,4.2259693145751953e-4,0.38487496972084045,0.003440260887145996,0.3657735288143158,0.009974360466003418,11.583,50.9251,0.002770342477938024,0.02231974136538622,0.09210633530336268,1,1,0
02480,0.3836309015750885,0.002272963523864746,0.33791545033454895,0.010792136192321777,0.32459890842437744,0.022404074668884277,8.993,50.0643,0.006625971895583133,0.04173911827197973,0.09918069070385348,1,1,0
02483,0.15623033046722412,0.2380058765411377,0.1741282343864441,0.19803082942962646,0.12696239352226257,0.39529871940612793,8.4891,51.1803,0.2671289584807706,0.25570971178777013,0.49501937655775763,0,0,0
02486,0.5473136901855469,1.1670589447021484e-4,0.5445483326911926,1.8310546875e-4,0.47466570138931274,0.002619504928588867,7.7557,49.4262,0.0014854822948109359,0.00811767578125,0.05050645934210884,1,1,0
02497,0.3181957006454468,0.012386679649353027,0.31353050470352173,0.018429279327392578,0.36583617329597473,0.010887622833251953,6.5264,50.5014,0.022413991746448335,0.053870201110839844,0.09210633530336268,1,0,0
02559,0.3415974974632263,0.006690263748168945,0.28911638259887695,0.028948426246643066,0.2713015079498291,0.05316650867462158,10.3348,47.7233,0.0144683752602678,0.06785702705383301,0.14886622428894042,1,0,0
02578,0.3343190848827362,0.0077207088470458984,0.36804771423339844,0.0060613155364990234,0.37471136450767517,0.009934663772583008,11.4341,53.9995,0.0156771645291161,0.03058367855143997,0.09210633530336268,1,1,0
02597,0.2697423994541168,0.03238248825073242,0.19050289690494537,0.15098893642425537,0.09108717739582062,0.5321798324584961,10.0792,50.224,0.04706962773057281,0.2059643953274458,0.62087647120157885,1,0,0
02601,0.2995598018169403,0.02063143253326416,0.27951252460479736,0.03513455390930176,0.22149956226348877,0.13018429279327393,8.4469,50.2218,0.03247314233046312,0.07788159449895224,0.2455958998795097,1,0,0
02618,0.34855541586875916,0.006346940994262695,0.26544052362442017,0.046654462814331055,0.0245432797819376,0.8840166330337524,10.4803,50.8458,0.014061011558721873,0.09332823753356934,0.9405936975479127,1,0,0
